,user_name,date,text,hashtags,source
0,AkoCVhin,02/02/2022 13:14,"RT @YKingofeagles: ""CORRUPTION in not just a Philippine condition... IT IS A HUMAN Condition!"" ~ #BBM2022
Articulate and Intelligent! @bong…",['BBM2022'],Twitter for Android
1,Anji Fanatic,30/01/2022 1:28,"@CosGailers Thank you 

ANJI CONQUERS ASAP 
#BoyAbundaInterviewsBBM",['BoyAbundaInterviewsBBM'],Twitter for Android
2,mzdeal,29/01/2022 18:10,"One cannot argue #BBM popularity in this #Election2022. #LetThePeopleDecide #LeniKiko2022 #excusepamore #rowenaguanzon #LetLeniLead #SaraAll
#BBMSARA2022
#BoyAbundainterviewsLeni #boyabundainterviewsbbm
#boyabundainterview https://t.co/Vqr6uMZMGq","['BBM', 'Election2022', 'LetThePeopleDecide', 'LeniKiko2022', 'excusepamore']",Twitter for iPhone
3,🦋🌸✨ A L P H A ✨🌸🦋,29/01/2022 17:08,RT @LakasNgTimog: Leni talks about the drug war like it’s ONLY about tokhang. I had to shake my head multiple times. Not sure if she really…,,Twitter for Android
0,Zigiran Tribe,04/02/2022 3:06,RT @FczAus: @RioPenaA @IskoMoreno That’s true .  #KayIskoPosible TAO MUNA #MayNanaloNa #IskoMasAngatKayLeni  #BoyAbundaInterviewsisko https…,"['KayIskoPosible', 'MayNanaloNa', 'IskoMasAngatKayLeni', 'BoyAbundaInterviewsisko']",Twitter for Android
1,Zigiran Tribe,04/02/2022 2:51,RT @IM4President: As long as it provides opportunity and business- isko Moreno domagoso BoyAbundaInterviews #boyabundainterviewsIsko #IM4P…,"['boyabundainterviewsIsko', 'IM4P']",Twitter for Android
2,Zigiran Tribe,04/02/2022 2:48,RT @FczAus: @JonDel86 @OysonMike @DodjieCusi @IskoMoreno @TWBAofficial “Trained actor” — you diminish his excellent skills because he becam…,,Twitter for Android
3,Zigiran Tribe,04/02/2022 2:48,RT @FczAus: @cessiesmile Thank you !!!  #KayIskoPosible TAO MUNA #MayNanaloNa #DestinyIsko2022 #IskoMasAngatKayLeni  #BoyAbundaInterviewsis…,"['KayIskoPosible', 'MayNanaloNa', 'DestinyIsko2022', 'IskoMasAngatKayLeni']",Twitter for Android
4,Zigiran Tribe,04/02/2022 2:48,"RT @lnnsls: sa financial aspect lalo na sa debt management and credit management, very well said and nasagot ni Mayor @IskoMoreno.  indeed,…",,Twitter for Android
5,Zigiran Tribe,04/02/2022 2:48,RT @IM4President: Only God can take it away not human being- isko Moreno domagoso #BoyAbundaInterviews #boyabundainterviewsIsko #IM4P #kayI…,"['BoyAbundaInterviews', 'boyabundainterviewsIsko', 'IM4P']",Twitter for Android
6,Zigiran Tribe,04/02/2022 2:46,"RT @ReFugoso: Fresh from his successful interview sa #JessicaSohoInterviews, Yorme @IskoMoreno has nailed it again, this time sa #BoyAbunda…",['JessicaSohoInterviews'],Twitter for Android
7,Teh,02/02/2022 2:08,RT @Shirtlifter27: The thing about this interview is that Sir Boy Abunda is listening well rather than asking more follow up questions beac…,,Twitter Web App
8,W H E N G,01/02/2022 6:03,"RT @lnnsls: sa financial aspect lalo na sa debt management and credit management, very well said and nasagot ni Mayor @IskoMoreno.  indeed,…",,Twitter for Android
9,W H E N G,01/02/2022 6:00,RT @isko_ako: IT IS POSIBLE TO BE PRO-PEOPLE with ISKO !!!! #KayIskoPosible #YesIsko #ISKOBesTAnswer #MayNanaloNa #BoyAbundaInterviewsisko,"['KayIskoPosible', 'YesIsko', 'ISKOBesTAnswer', 'MayNanaloNa', 'BoyAbundaInterviewsisko']",Twitter for Android
10,W H E N G,01/02/2022 5:58,"RT @ReFugoso: Fresh from his successful interview sa #JessicaSohoInterviews, Yorme @IskoMoreno has nailed it again, this time sa #BoyAbunda…",['JessicaSohoInterviews'],Twitter for Android
11,W H E N G,01/02/2022 5:56,RT @IM4President: As long as it provides opportunity and business- isko Moreno domagoso BoyAbundaInterviews #boyabundainterviewsIsko #IM4P…,"['boyabundainterviewsIsko', 'IM4P']",Twitter for Android
12,Rufina Naguit,29/01/2022 18:05,"RT @OysonMike: ISKO @IskoMoreno serious contender for the Presidency. Student of Lee Kuan Yew. Impressive. Thoughtful, decisive, leader, no…",,Twitter for iPhone
