,user_name,date,text,hashtags,source
0,AkoCVhin,2022-02-02 13:14:23,"RT @YKingofeagles: ""CORRUPTION in not just a Philippine condition... IT IS A HUMAN Condition!"" ~ #BBM2022
Articulate and Intelligent! @bong…",['BBM2022'],Twitter for Android
1,Anji Fanatic,2022-01-30 01:28:31,"@CosGailers Thank you 

ANJI CONQUERS ASAP 
#BoyAbundaInterviewsBBM",['BoyAbundaInterviewsBBM'],Twitter for Android
2,mzdeal,2022-01-29 18:10:07,"One cannot argue #BBM popularity in this #Election2022. #LetThePeopleDecide #LeniKiko2022 #excusepamore #rowenaguanzon #LetLeniLead #SaraAll
#BBMSARA2022
#BoyAbundainterviewsLeni #boyabundainterviewsbbm
#boyabundainterview https://t.co/Vqr6uMZMGq","['BBM', 'Election2022', 'LetThePeopleDecide', 'LeniKiko2022', 'excusepamore']",Twitter for iPhone
3,🦋🌸✨ A L P H A ✨🌸🦋,2022-01-29 17:08:08,RT @LakasNgTimog: Leni talks about the drug war like it’s ONLY about tokhang. I had to shake my head multiple times. Not sure if she really…,,Twitter for Android
