,user_name,date,text,hashtags,source
34,Justin Hodges,2022-03-05 03:39:08,"RT @elonmusk: Obviously, this would negatively affect Tesla, but sustainable energy solutions simply cannot react instantaneously to make u…",,Twitter for iPhone
35,Dogboy64,2022-03-05 03:39:08,"@19bk69 Again, speculation. Experts have been writing off the Russians for a century now. There’s lots of talk of collapse which would probably be the case if Russia was a western democracy. It’s not, it’s Russia. I don’t know what’s going to happen but I doubt it’s Russian collapse.",,Twitter for iPhone
36,Susan Billett,2022-03-05 03:39:08,"RT @elonmusk: Obviously, this would negatively affect Tesla, but sustainable energy solutions simply cannot react instantaneously to make u…",,Twitter for iPhone
37,PK,2022-03-05 03:39:08,RT @sentdefender: Video released from inside the Zaporizhzhia Nuclear Power Plant's Main Operations room during the Russian Attack on the S…,,Twitter for iPhone
38,CObermayer,2022-03-05 03:39:08,"RT @itvnews: @johnirvineitv Our team filmed dozens of Russian vehicles and hundreds of troops.

There are reports Mariupol has been encircl…",,Twitter for iPhone
39,Public Safety Fit 🇺🇦🚓 🚑 🚒 👽 🇨🇦 🇺🇸🏳️‍🌈,2022-03-05 03:39:08,"RT @BaddCompani: This is really an amazing story and one to Highly pay attention to.

Putin has tried to assassinate Zelensky 3 times

all…",,Twitter for Android
40,Tom,2022-03-05 03:39:08,"RT @Nautivic: It’s so funny that Tolstoy, a literal anarchist who despised the Russian state, is being pulled from shelves because of the a…",,Twitter Web App
41,Sailor,2022-03-05 03:39:08,RT @McFaul: End all imports of Russian oil to the U.S. today. 3/,,Twitter for iPhone
42,GoodAdvicePublishing,2022-03-05 03:39:08,"RT @Morrigoon: @GDCPhx @McFaul @biden The war is now, no time for training Ukraine. But if neighbors who use Russian aircraft, which Ukrain…",,Twitter for iPad
43,Denise Bervig,2022-03-05 03:39:08,"RT @anneapplebaum: Russian bombs have damaged a cathedral in Kharkiv. ""No bunker can protect you from God,"" said Zelensky https://t.co/oAPu…",,Twitter for iPhone
44,🐾 Welcome back Checks and Balances 🐾,2022-03-05 03:39:08,RT @Nrg8000: A photo from the journalist Bogdan Butkevich (h/t @CalibreObscura) included a claim that after two days Ukrainian forces have…,,Twitter Web App
45,Mark van Buskirk,2022-03-05 03:39:08,RT @ATnDemocrat: @clynnpeek68 @TheRealHoarse Wonder if there are any ties to #MoscowMitch Kentucky teachers? With @MarshaBlackburn in Tenne…,['MoscowMitch'],Twitter for Android
46,callipygian🤍,2022-03-05 03:39:08,RT @Anansislibrary: They got rid of everything Russian faster than they got rid of all the confederate statues in this country,,Twitter for iPhone
47,Katherine Elizabeth McLaren,2022-03-05 03:39:08,"RT @mfa_russia: 🇷🇺🇮🇱📞 On February 27, Russian President Vladimir Putin had a telephone conversation with PM of Israel @naftalibennett.

☝️…",,Twitter Web App
48,Bill Nye The Highest Guy,2022-03-05 03:39:08,"RT @blackintheempir: We have to ignore the racism against Africans, the Nazis who have killed 14,000 Russian speaking Ukrainians in the las…",,Twitter for Android
49,緒方　健二,2022-03-05 03:39:08,"RT @LindseyGrahamSC: Is there a Brutus in Russia?  Is there a more successful Colonel Stauffenberg in the Russian military?  

The only way…",,Twitter for Android
50,Arvis,2022-03-05 03:39:07,"RT @anders_aslund: Is it possible to cut off Russian oil exports of 5mbbl/day, half Russia's export revenues?
Yes, it is!
The US can produc…",,Twitter for Android
51,Trent Brownlee 🇺🇦,2022-03-05 03:39:07,"RT @AVindman: Reports of a significant armor engagement in a suburb of Kyiv, …between Russian forces. Friendly fire restulted in the loss o…",,Twitter for Android
52,Marlise,2022-03-05 03:39:07,"RT @TheDemCoalition: The bravery and ferocity with which Ukraine has fought off Putin's fascist invaders has shocked the Russian army 👇

#S…",,Twitter Web App
53,Jackie 🐌TrumpLost🐌👍,2022-03-05 03:39:07,"RT @RpsAgainstTrump: There’s no justification for the US to still be importing Russian oil=funding Putin’s war machine against Ukraine.
#St…",,Twitter for iPhone
54,DEBRA LEE,2022-03-05 03:39:07,RT @MarketRebels: $KO Coca-Cola is leaving the Russian market,,Twitter for iPhone
55,Deborah Brown,2022-03-05 03:39:07,RT @kylegriffin1: The National Association of Broadcasters has issued a statement calling on broadcasters to stop carrying Russian-sponsore…,,Twitter for iPhone
