,user_name,text,lowercase,unwanted_spaces,urls,html_encodings,usernames,pne,three_characters,stopwords,tokenize,lemmatize,duplicate,clean_text
30,Marie Bloomer,"RT @realfranzprusse: Numerous bots have been activated across UK reporter’s  Twitter accounts to basically feel sorry for the Queen, trash…","rt @realfranzprusse: numerous bots have been activated across uk reporter’s  twitter accounts to basically feel sorry for the queen, trash…","rt @realfranzprusse: numerous bots have been activated across uk reporter’s twitter accounts to basically feel sorry for the queen, trash…","rt @realfranzprusse: numerous bots have been activated across uk reporter’s twitter accounts to basically feel sorry for the queen, trash…","rt @realfranzprusse: numerous bots have been activated across uk reporter’s twitter accounts to basically feel sorry for the queen, trash…","rt : numerous bots have been activated across uk reporter’s twitter accounts to basically feel sorry for the queen, trash…",rt   numerous bots have been activated across uk reporter s twitter accounts to basically feel sorry for the queen  trash ,numerous bots have been activated across reporter twitter accounts basically feel sorry queen trash,numerous bots activated across reporter twitter accounts basically feel sorry queen trash,"['numerous', 'bots', 'activated', 'across', 'reporter', 'twitter', 'accounts', 'basically', 'feel', 'sorry', 'queen', 'trash']",numerous bot activate across reporter twitter account basically feel sorry queen trash,numerous bot activate across reporter twitter account basically feel sorry queen trash,numerous bot activate across reporter twitter account basically feel sorry queen trash
31,Marie Bloomer,"RT @Saneisha5: Karma is having a good day in the Monarchy and American politics 
@#karma #PrinceAndrew #princewilliamaffair https://t.co/Qw…","rt @saneisha5: karma is having a good day in the monarchy and american politics 
@#karma #princeandrew #princewilliamaffair https://t.co/qw…",rt @saneisha5: karma is having a good day in the monarchy and american politics @#karma #princeandrew #princewilliamaffair https://t.co/qw…,rt @saneisha5: karma is having a good day in the monarchy and american politics @#karma #princeandrew #princewilliamaffair ,rt @saneisha5: karma is having a good day in the monarchy and american politics @#karma #princeandrew #princewilliamaffair ,rt : karma is having a good day in the monarchy and american politics @#karma #princeandrew #princewilliamaffair ,rt   karma is having a good day in the monarchy and american politics   karma  princeandrew  princewilliamaffair ,karma having good monarchy american politics karma princeandrew princewilliamaffair,karma good monarchy american politics karma princeandrew princewilliamaffair,"['karma', 'good', 'monarchy', 'american', 'politics', 'karma', 'princeandrew', 'princewilliamaffair']",karma good monarchy american politics karma princeandrew princewilliamaffair,karma good monarchy american politics princeandrew princewilliamaffair,karma good monarchy american politics princeandrew princewilliamaffair
32,Marie Bloomer,RT @sussexsquadpod1: Since #QueenElizabeth is finally making decisions based on what we saw with #PrinceAndrew is she going to ungag the pr…,rt @sussexsquadpod1: since #queenelizabeth is finally making decisions based on what we saw with #princeandrew is she going to ungag the pr…,rt @sussexsquadpod1: since #queenelizabeth is finally making decisions based on what we saw with #princeandrew is she going to ungag the pr…,rt @sussexsquadpod1: since #queenelizabeth is finally making decisions based on what we saw with #princeandrew is she going to ungag the pr…,rt @sussexsquadpod1: since #queenelizabeth is finally making decisions based on what we saw with #princeandrew is she going to ungag the pr…,rt : since #queenelizabeth is finally making decisions based on what we saw with #princeandrew is she going to ungag the pr…,rt   since  queenelizabeth is finally making decisions based on what we saw with  princeandrew is she going to ungag the pr ,since queenelizabeth finally making decisions based what with princeandrew going ungag,since queenelizabeth finally making decisions based princeandrew going ungag,"['since', 'queenelizabeth', 'finally', 'making', 'decisions', 'based', 'princeandrew', 'going', 'ungag']",since queenelizabeth finally make decision base princeandrew go ungag,since queenelizabeth finally make decision base princeandrew go ungag,since queenelizabeth finally make decision base princeandrew go ungag
33,Marie Bloomer,"RT @Ces_gurl: Someone needs to tell William and Andrew that a happy Meghan, along with a much stronger Harry, will not be their whipping bo…","rt @ces_gurl: someone needs to tell william and andrew that a happy meghan, along with a much stronger harry, will not be their whipping bo…","rt @ces_gurl: someone needs to tell william and andrew that a happy meghan, along with a much stronger harry, will not be their whipping bo…","rt @ces_gurl: someone needs to tell william and andrew that a happy meghan, along with a much stronger harry, will not be their whipping bo…","rt @ces_gurl: someone needs to tell william and andrew that a happy meghan, along with a much stronger harry, will not be their whipping bo…","rt _gurl: someone needs to tell william and andrew that a happy meghan, along with a much stronger harry, will not be their whipping bo…",rt  gurl  someone needs to tell william and andrew that a happy meghan  along with a much stronger harry  will not be their whipping bo ,gurl someone needs tell william andrew that happy meghan along with much stronger harry will their whipping,gurl someone needs tell william andrew happy meghan along much stronger harry whipping,"['gurl', 'someone', 'needs', 'tell', 'william', 'andrew', 'happy', 'meghan', 'along', 'much', 'stronger', 'harry', 'whipping']",gurl someone need tell william andrew happy meghan along much strong harry whip,gurl someone need tell william andrew happy meghan along much strong harry whip,gurl someone need tell william andrew happy meghan along much strong harry whip
34,Marie Bloomer,"RT @byetwit: Since #PrinceWilliamAffair is so willing to take credit for making the #RacistRoyalFamily's ""tough"" decisions. We can blame hi…","rt @byetwit: since #princewilliamaffair is so willing to take credit for making the #racistroyalfamily's ""tough"" decisions. we can blame hi…","rt @byetwit: since #princewilliamaffair is so willing to take credit for making the #racistroyalfamily's ""tough"" decisions. we can blame hi…","rt @byetwit: since #princewilliamaffair is so willing to take credit for making the #racistroyalfamily's ""tough"" decisions. we can blame hi…","rt @byetwit: since #princewilliamaffair is so willing to take credit for making the #racistroyalfamily's ""tough"" decisions. we can blame hi…","rt : since #princewilliamaffair is so willing to take credit for making the #racistroyalfamily's ""tough"" decisions. we can blame hi…",rt   since  princewilliamaffair is so willing to take credit for making the  racistroyalfamily s  tough  decisions  we can blame hi ,since princewilliamaffair willing take credit making racistroyalfamily tough decisions blame,since princewilliamaffair willing take credit making racistroyalfamily tough decisions blame,"['since', 'princewilliamaffair', 'willing', 'take', 'credit', 'making', 'racistroyalfamily', 'tough', 'decisions', 'blame']",since princewilliamaffair will take credit make racistroyalfamily tough decision blame,since princewilliamaffair will take credit make racistroyalfamily tough decision blame,since princewilliamaffair will take credit make racistroyalfamily tough decision blame
35,Marie Bloomer,"RT @margmak: Leak…….
Surreptitious TIMING:
#Distraction 
#PartyGate #DowningStreet 
#BorisJohnsonResign #Scandal #SueGray #Andrew #PrinceAn…","rt @margmak: leak…….
surreptitious timing:
#distraction 
#partygate #downingstreet 
#borisjohnsonresign #scandal #suegray #andrew #princean…",rt @margmak: leak……. surreptitious timing: #distraction #partygate #downingstreet #borisjohnsonresign #scandal #suegray #andrew #princean…,rt @margmak: leak……. surreptitious timing: #distraction #partygate #downingstreet #borisjohnsonresign #scandal #suegray #andrew #princean…,rt @margmak: leak……. surreptitious timing: #distraction #partygate #downingstreet #borisjohnsonresign #scandal #suegray #andrew #princean…,rt : leak……. surreptitious timing: #distraction #partygate #downingstreet #borisjohnsonresign #scandal #suegray #andrew #princean…,rt   leak    surreptitious timing   distraction  partygate  downingstreet  borisjohnsonresign  scandal  suegray  andrew  princean ,leak surreptitious timing distraction partygate downingstreet borisjohnsonresign scandal suegray andrew princean,leak surreptitious timing distraction partygate downingstreet borisjohnsonresign scandal suegray andrew princean,"['leak', 'surreptitious', 'timing', 'distraction', 'partygate', 'downingstreet', 'borisjohnsonresign', 'scandal', 'suegray', 'andrew', 'princean']",leak surreptitious time distraction partygate downingstreet borisjohnsonresign scandal suegray andrew princean,leak surreptitious time distraction partygate downingstreet borisjohnsonresign scandal suegray andrew princean,leak surreptitious time distraction partygate downingstreet borisjohnsonresign scandal suegray andrew princean
36,Marie Bloomer,RT @byetwit: Prove to me that #PrinceWilliamAffair didn't direct his friends at Viscount Rothermere's #DailyFail to print the lie about som…,rt @byetwit: prove to me that #princewilliamaffair didn't direct his friends at viscount rothermere's #dailyfail to print the lie about som…,rt @byetwit: prove to me that #princewilliamaffair didn't direct his friends at viscount rothermere's #dailyfail to print the lie about som…,rt @byetwit: prove to me that #princewilliamaffair didn't direct his friends at viscount rothermere's #dailyfail to print the lie about som…,rt @byetwit: prove to me that #princewilliamaffair didn't direct his friends at viscount rothermere's #dailyfail to print the lie about som…,rt : prove to me that #princewilliamaffair didn't direct his friends at viscount rothermere's #dailyfail to print the lie about som…,rt   prove to me that  princewilliamaffair didn t direct his friends at viscount rothermere s  dailyfail to print the lie about som ,prove that princewilliamaffair didn direct friends viscount rothermere dailyfail print about,prove princewilliamaffair direct friends viscount rothermere dailyfail print,"['prove', 'princewilliamaffair', 'direct', 'friends', 'viscount', 'rothermere', 'dailyfail', 'print']",prove princewilliamaffair direct friend viscount rothermere dailyfail print,prove princewilliamaffair direct friend viscount rothermere dailyfail print,prove princewilliamaffair direct friend viscount rothermere dailyfail print
37,Marie Bloomer,"RT @Lord_Belacqua: The Sussex Squad are desperate to abuse Rose Hanbury, a young mother of small children with lies.

I guess this just abo…","rt @lord_belacqua: the sussex squad are desperate to abuse rose hanbury, a young mother of small children with lies.

i guess this just abo…","rt @lord_belacqua: the sussex squad are desperate to abuse rose hanbury, a young mother of small children with lies. i guess this just abo…","rt @lord_belacqua: the sussex squad are desperate to abuse rose hanbury, a young mother of small children with lies. i guess this just abo…","rt @lord_belacqua: the sussex squad are desperate to abuse rose hanbury, a young mother of small children with lies. i guess this just abo…","rt _belacqua: the sussex squad are desperate to abuse rose hanbury, a young mother of small children with lies. i guess this just abo…",rt  belacqua  the sussex squad are desperate to abuse rose hanbury  a young mother of small children with lies  i guess this just abo ,belacqua sussex squad desperate abuse rose hanbury young mother small children with lies guess this just,belacqua sussex squad desperate abuse rose hanbury young mother small children lies guess,"['belacqua', 'sussex', 'squad', 'desperate', 'abuse', 'rose', 'hanbury', 'young', 'mother', 'small', 'children', 'lies', 'guess']",belacqua sussex squad desperate abuse rise hanbury young mother small child lie guess,belacqua sussex squad desperate abuse rise hanbury young mother small child lie guess,belacqua sussex squad desperate abuse rise hanbury young mother small child lie guess
38,Marie Bloomer,"RT @sannetje_26: #TriedToDianaPrinceHarry 
And his family just because he married a black woman. Hell won't be good enough for these people…","rt @sannetje_26: #triedtodianaprinceharry 
and his family just because he married a black woman. hell won't be good enough for these people…",rt @sannetje_26: #triedtodianaprinceharry and his family just because he married a black woman. hell won't be good enough for these people…,rt @sannetje_26: #triedtodianaprinceharry and his family just because he married a black woman. hell won't be good enough for these people…,rt @sannetje_26: #triedtodianaprinceharry and his family just because he married a black woman. hell won't be good enough for these people…,rt _26: #triedtodianaprinceharry and his family just because he married a black woman. hell won't be good enough for these people…,rt       triedtodianaprinceharry and his family just because he married a black woman  hell won t be good enough for these people ,triedtodianaprinceharry family just because married black woman hell good enough these people,triedtodianaprinceharry family married black woman hell good enough people,"['triedtodianaprinceharry', 'family', 'married', 'black', 'woman', 'hell', 'good', 'enough', 'people']",triedtodianaprinceharry family marry black woman hell good enough people,triedtodianaprinceharry family marry black woman hell good enough people,triedtodianaprinceharry family marry black woman hell good enough people
39,Marie Bloomer,"RT @ArchieStannumb1: Every time they attack Harry or Meghan without reason, please use #princewilliamaffair and #PrinceAndrew to respond.Ma…","rt @archiestannumb1: every time they attack harry or meghan without reason, please use #princewilliamaffair and #princeandrew to respond.ma…","rt @archiestannumb1: every time they attack harry or meghan without reason, please use #princewilliamaffair and #princeandrew to respond.ma…","rt @archiestannumb1: every time they attack harry or meghan without reason, please use #princewilliamaffair and #princeandrew to respond.ma…","rt @archiestannumb1: every time they attack harry or meghan without reason, please use #princewilliamaffair and #princeandrew to respond.ma…","rt : every time they attack harry or meghan without reason, please use #princewilliamaffair and #princeandrew to respond.ma…",rt   every time they attack harry or meghan without reason  please use  princewilliamaffair and  princeandrew to respond ma ,every time they attack harry meghan without reason please princewilliamaffair princeandrew respond,every time attack harry meghan without reason please princewilliamaffair princeandrew respond,"['every', 'time', 'attack', 'harry', 'meghan', 'without', 'reason', 'please', 'princewilliamaffair', 'princeandrew', 'respond']",every time attack harry meghan without reason please princewilliamaffair princeandrew respond,every time attack harry meghan without reason please princewilliamaffair princeandrew respond,every time attack harry meghan without reason please princewilliamaffair princeandrew respond
