,word,freq,compound,neg,neu,pos,st,subjectivity,polarity
210,strong,1,51.06,0.0,0.0,100.0,1,0.7333333333333333,0.4333333333333333
211,whip,1,0.0,0.0,100.0,0.0,2,0.0,0.0
212,credit,1,38.18,0.0,0.0,100.0,1,0.0,0.0
213,tough,1,-12.8,100.0,0.0,0.0,0,0.8333333333333334,-0.3888888888888889
214,blame,1,-34.0,100.0,0.0,0.0,0,0.0,0.0
215,surreptitious,1,0.0,0.0,100.0,0.0,2,0.0,0.0
216,partygate,1,0.0,0.0,100.0,0.0,2,0.0,0.0
217,downingstreet,1,0.0,0.0,100.0,0.0,2,0.0,0.0
218,borisjohnsonresign,1,0.0,0.0,100.0,0.0,2,0.0,0.0
219,suegray,1,0.0,0.0,100.0,0.0,2,0.0,0.0
220,princean,1,0.0,0.0,100.0,0.0,2,0.0,0.0
221,prove,1,0.0,0.0,100.0,0.0,2,0.0,0.0
222,direct,1,0.0,0.0,100.0,0.0,2,0.4,0.1
223,friend,1,49.39,0.0,0.0,100.0,1,0.0,0.0
224,viscount,1,0.0,0.0,100.0,0.0,2,0.0,0.0
225,rothermere,1,0.0,0.0,100.0,0.0,2,0.0,0.0
226,belacqua,1,0.0,0.0,100.0,0.0,2,0.0,0.0
227,squad,1,0.0,0.0,100.0,0.0,2,0.0,0.0
228,desperate,1,-31.819999999999997,100.0,0.0,0.0,0,1.0,-0.6
229,abuse,1,-63.690000000000005,100.0,0.0,0.0,0,0.0,0.0
230,young,1,0.0,0.0,100.0,0.0,2,0.4,0.1
231,mother,1,0.0,0.0,100.0,0.0,2,0.0,0.0
232,small,1,0.0,0.0,100.0,0.0,2,0.4,-0.25
233,child,1,0.0,0.0,100.0,0.0,2,0.0,0.0
234,guess,1,0.0,0.0,100.0,0.0,2,0.0,0.0
235,triedtodianaprinceharry,1,0.0,0.0,100.0,0.0,2,0.0,0.0
236,marry,1,0.0,0.0,100.0,0.0,2,0.0,0.0
237,black,1,0.0,0.0,100.0,0.0,2,0.43333333333333335,-0.16666666666666666
238,hell,1,-68.08,100.0,0.0,0.0,0,0.0,0.0
239,people,1,0.0,0.0,100.0,0.0,2,0.0,0.0
240,attack,1,-47.67,100.0,0.0,0.0,0,0.0,0.0
241,respond,1,0.0,0.0,100.0,0.0,2,0.0,0.0
242,happen,1,0.0,0.0,100.0,0.0,2,0.0,0.0
243,globally,1,0.0,0.0,100.0,0.0,2,0.0,0.0
244,flopiana,1,0.0,0.0,100.0,0.0,2,0.0,0.0
245,thank,1,36.120000000000005,0.0,0.0,100.0,1,0.0,0.0
246,flop,1,-34.0,100.0,0.0,0.0,0,0.0,0.0
247,birthday,1,0.0,0.0,100.0,0.0,2,0.0,0.0
248,story,1,0.0,0.0,100.0,0.0,2,0.0,0.0
249,soldier,1,0.0,0.0,100.0,0.0,2,0.0,0.0
250,asset,1,36.120000000000005,0.0,0.0,100.0,1,0.0,0.0
251,princecharlestamponking,1,0.0,0.0,100.0,0.0,2,0.0,0.0
252,queenelizabethiienablesdeg,1,0.0,0.0,100.0,0.0,2,0.0,0.0
253,squirr,1,0.0,0.0,100.0,0.0,2,0.0,0.0
254,nonce,1,0.0,0.0,100.0,0.0,2,0.0,0.0
255,sue,1,0.0,0.0,100.0,0.0,2,0.0,0.0
256,relevant,1,0.0,0.0,100.0,0.0,2,0.9,0.4
257,right,1,0.0,0.0,100.0,0.0,2,0.5357142857142857,0.2857142857142857
258,second,1,0.0,0.0,100.0,0.0,2,0.0,0.0
259,place,1,0.0,0.0,100.0,0.0,2,0.0,0.0
260,princewi,1,0.0,0.0,100.0,0.0,2,0.0,0.0
261,sussexsquad,1,0.0,0.0,100.0,0.0,2,0.0,0.0
262,degeneracy,1,0.0,0.0,100.0,0.0,2,0.0,0.0
263,fix,1,0.0,0.0,100.0,0.0,2,0.0,0.0
264,picture,1,0.0,0.0,100.0,0.0,2,0.0,0.0
265,accuracy,1,0.0,0.0,100.0,0.0,2,0.0,0.0
266,princeandrewisnext,1,0.0,0.0,100.0,0.0,2,0.0,0.0
267,meghanmarklewon,1,0.0,0.0,100.0,0.0,2,0.0,0.0
268,allegedly,1,0.0,0.0,100.0,0.0,2,0.1,-0.1
269,daughter,1,0.0,0.0,100.0,0.0,2,0.0,0.0
270,real,1,0.0,0.0,100.0,0.0,2,0.30000000000000004,0.2
271,mess,1,-36.120000000000005,100.0,0.0,0.0,0,0.175,-0.175
272,prin,1,0.0,0.0,100.0,0.0,2,0.0,0.0
