,user_name,date,text,hashtags,source
0,HelloPoCrush,2022-02-01 15:35:51,"RT @PangsNgBuhayMo: #BoyAbundaInterviewsLENI

Kahit lagi mag butt in si Tito Boy, never nag stutter si VP @lenirobredo, bakit? She's sponta…",['BoyAbundaInterviewsLENI'],Twitter for Android
1,Rabbitutero,2022-02-01 15:34:16,"RT @PangsNgBuhayMo: #BoyAbundaInterviewsLENI

Kahit lagi mag butt in si Tito Boy, never nag stutter si VP @lenirobredo, bakit? She's sponta…",['BoyAbundaInterviewsLENI'],Twitter for Android
2,♈🅰️LLERY👊🏽✌️(BBMSARA),2022-02-01 09:28:04,"RT @GraceEverlast: @Disisyiti ""STUPID is Forever!"" ~Accdg to SenMDS 

#BBMSARA2022  BoboALERT 
#NoToLeniKiko2022 
#LeniTangaSaLahat 
#BoyAb…","['BBMSARA2022', 'NoToLeniKiko2022', 'LeniTangaSaLahat']",Twitter for Android
3,Ako'y Pobreng Alindahaw,2022-02-01 08:08:53,"RT @GraceEverlast: @Disisyiti ""STUPID is Forever!"" ~Accdg to SenMDS 

#BBMSARA2022  BoboALERT 
#NoToLeniKiko2022 
#LeniTangaSaLahat 
#BoyAb…","['BBMSARA2022', 'NoToLeniKiko2022', 'LeniTangaSaLahat']",Twitter Web App
4,pen💍,2022-02-01 07:53:00,"RT @GraceEverlast: @Disisyiti ""STUPID is Forever!"" ~Accdg to SenMDS 

#BBMSARA2022  BoboALERT 
#NoToLeniKiko2022 
#LeniTangaSaLahat 
#BoyAb…","['BBMSARA2022', 'NoToLeniKiko2022', 'LeniTangaSaLahat']",Twitter for Android
5,MICHAEL FUJIWARA,2022-02-01 07:31:00,"RT @GraceEverlast: @Disisyiti ""STUPID is Forever!"" ~Accdg to SenMDS 

#BBMSARA2022  BoboALERT 
#NoToLeniKiko2022 
#LeniTangaSaLahat 
#BoyAb…","['BBMSARA2022', 'NoToLeniKiko2022', 'LeniTangaSaLahat']",Twitter Web App
6,Sonny Trillanes Buang,2022-02-01 07:30:41,"RT @GraceEverlast: @Disisyiti ""STUPID is Forever!"" ~Accdg to SenMDS 

#BBMSARA2022  BoboALERT 
#NoToLeniKiko2022 
#LeniTangaSaLahat 
#BoyAb…","['BBMSARA2022', 'NoToLeniKiko2022', 'LeniTangaSaLahat']",Twitter for Android
7,BBMSARA2022,2022-02-01 07:21:21,"RT @GraceEverlast: @Disisyiti ""STUPID is Forever!"" ~Accdg to SenMDS 

#BBMSARA2022  BoboALERT 
#NoToLeniKiko2022 
#LeniTangaSaLahat 
#BoyAb…","['BBMSARA2022', 'NoToLeniKiko2022', 'LeniTangaSaLahat']",Twitter for Android
8,Emily Lu G.,2022-02-01 06:56:20,"RT @GraceEverlast: @Disisyiti ""STUPID is Forever!"" ~Accdg to SenMDS 

#BBMSARA2022  BoboALERT 
#NoToLeniKiko2022 
#LeniTangaSaLahat 
#BoyAb…","['BBMSARA2022', 'NoToLeniKiko2022', 'LeniTangaSaLahat']",Twitter Web App
9,Alex Philip Francisco,2022-02-01 06:47:41,"RT @GraceEverlast: @Disisyiti ""STUPID is Forever!"" ~Accdg to SenMDS 

#BBMSARA2022  BoboALERT 
#NoToLeniKiko2022 
#LeniTangaSaLahat 
#BoyAb…","['BBMSARA2022', 'NoToLeniKiko2022', 'LeniTangaSaLahat']",Twitter for Android
10,Emily Lu G.,2022-02-01 06:38:21,"@Disisyiti ""STUPID is Forever!"" ~Accdg to SenMDS 

#BBMSARA2022  BoboALERT 
#NoToLeniKiko2022 
#LeniTangaSaLahat 
#BoyAbundaInterviewsLENI 
#BilangPilipino2022  🇵🇭❤️💚
#BBMIsMyPresident2022
#Halalan2022 

📷 CTTO https://t.co/6i5WRxHjFS","['BBMSARA2022', 'NoToLeniKiko2022', 'LeniTangaSaLahat']",Twitter Web App
11,preciousjems,2022-01-31 15:07:36,RT @ricci_richy: One of the important parts of #BoyAbundaInterviewsLeni that we should remember: https://t.co/ZdRgwdRAA4,['BoyAbundaInterviewsLeni'],Twitter for Android
12,mzdeal,2022-01-29 18:10:07,"One cannot argue #BBM popularity in this #Election2022. #LetThePeopleDecide #LeniKiko2022 #excusepamore #rowenaguanzon #LetLeniLead #SaraAll
#BBMSARA2022
#BoyAbundainterviewsLeni #boyabundainterviewsbbm
#boyabundainterview https://t.co/Vqr6uMZMGq","['BBM', 'Election2022', 'LetThePeopleDecide', 'LeniKiko2022', 'excusepamore']",Twitter for iPhone
13,Olin,2022-01-29 08:43:35,RT @ricci_richy: One of the important parts of #BoyAbundaInterviewsLeni that we should remember: https://t.co/ZdRgwdRAA4,['BoyAbundaInterviewsLeni'],Twitter for Android
14,Dale Marie,2022-01-29 07:57:25,"RT @no1trendingph: She answered with concrete examples not just claims or plans, it's backed up with what she has done and she has been doi…",,Twitter for Android
15,️️ ️️️️️️️️️ ️️ ️️ ️️,2022-01-29 07:45:09,"RT @no1trendingph: She answered with concrete examples not just claims or plans, it's backed up with what she has done and she has been doi…",,Twitter for Android
